original_met_name,llm_queries,chosen_kegg_cpd,confidence,mapping_score,evidence_line,n_reactions,n_enzymes,n_pathways
aconitate [cis or trans],aconitate [cis or trans]; aconitic acid [cis or trans],,low,0.0,,0,0,0
1-myristoyl-GPC (14:0),1-myristoyl-gpc (14:0); myristoyl-gpc (14:0),,low,0.0,,0,0,0
1-arachidoyl-GPC (20:0),1-arachidoyl-gpc (20:0); arachidoyl-gpc (20:0),,low,0.0,,0,0,0
heme,heme,cpd:C00032,low,1.0,Query 'heme' -> cpd:C00032: Heme; Haem; Protoheme; Heme B; Protoheme IX,20,11,8
stearoylcarnitine (C18),stearoylcarnitine (c18),,low,0.0,,0,0,0
laurylcarnitine (C12),laurylcarnitine (c12),,low,0.0,,0,0,0
isovalerylcarnitine (C5),isovalerylcarnitine (c5),,low,0.0,,0,0,0
1-linoleoyl-GPC (18:2),1-linoleoyl-gpc (18:2); linoleoyl-gpc (18:2),,low,0.0,,0,0,0
indolebutyrate,indolebutyrate; indolebutyric acid,cpd:C11284,low,1.0,Query 'indolebutyric acid' -> cpd:C11284: Indolebutyric acid; Indole-3-butyric acid; IBA,0,0,0
N1-methylinosine,n1-methylinosine; nmethylinosine,,low,0.0,,0,0,0
"N2,N2-dimethylguanosine","n2,n2-dimethylguanosine; n2,ndimethylguanosine",,low,0.0,,0,0,0
N4-acetylcytidine,n4-acetylcytidine; nacetylcytidine,cpd:C22293,low,1.0,Query 'n4-acetylcytidine' -> cpd:C22293: N4-Acetylcytidine,1,1,0
N6-carbamoylthreonyladenosine,n6-carbamoylthreonyladenosine; ncarbamoylthreonyladenosine,,low,0.0,,0,0,0
orotidine,orotidine,cpd:C01103,low,0.7,Query 'orotidine' -> cpd:C01103: Orotidine 5'-phosphate; Orotidylic acid,2,2,3
phenylacetylglutamine,phenylacetylglutamine,cpd:C04148,low,1.0,Query 'phenylacetylglutamine' -> cpd:C04148: Phenylacetylglutamine; alpha-N-Phenylacetyl-L-glutamine; N2-(2-Phenylacetyl)-L-glutamine,1,1,1
"5,6-dihydrouridine","5,6-dihydrouridine; 5,dihydrouridine",,low,0.0,,0,0,0
3-(3-amino-3-carboxypropyl)uridine*,3-(3-amino-3-carboxypropyl)uridine*; 3-(3-amino-3-carboxypropyl)uridine; (amino-carboxypropyl)uridine*,,low,0.0,,0,0,0
1-arachidonylglycerol (20:4),1-arachidonylglycerol (20:4); arachidonylglycerol (20:4),,low,0.0,,0,0,0
1-linolenoylglycerol (18:3),1-linolenoylglycerol (18:3); linolenoylglycerol (18:3),,low,0.0,,0,0,0
cysteine-glutathione disulfide,cysteine-glutathione disulfide,,low,0.0,,0,0,0
1-palmitoyl-GPA (16:0),1-palmitoyl-gpa (16:0); palmitoyl-gpa (16:0),,low,0.0,,0,0,0
5-methyluridine (ribothymidine),5-methyluridine (ribothymidine); methyluridine (ribothymidine),,low,0.0,,0,0,0
isovalerylglycine,isovalerylglycine,,low,0.0,,0,0,0
3-hydroxydodecanedioate*,3-hydroxydodecanedioate*; 3-hydroxydodecanedioate; hydroxydodecanedioate*; 3-hydroxydodecanedioic acid*,,low,0.0,,0,0,0
7-methylguanine,7-methylguanine; methylguanine,cpd:C02242,low,1.0,Query '7-methylguanine' -> cpd:C02242: 7-Methylguanine,0,0,0
1-stearoyl-GPE (18:0),1-stearoyl-gpe (18:0); stearoyl-gpe (18:0),,low,0.0,,0,0,0
1-stearoyl-GPG (18:0),1-stearoyl-gpg (18:0); stearoyl-gpg (18:0),,low,0.0,,0,0,0
N2-methylguanosine,n2-methylguanosine; nmethylguanosine,,low,0.0,,0,0,0
N1-methyl-2-pyridone-5-carboxamide,n1-methyl-2-pyridone-5-carboxamide; nmethyl-pyridone-carboxamide,cpd:C05842,low,1.0,Query 'n1-methyl-2-pyridone-5-carboxamide' -> cpd:C05842: N1-Methyl-2-pyridone-5-carboxamide; N'-Methyl-2-pyridone-5-carboxamide; 1-Methyl-5-carboxylamide-2-p,1,1,2
N1-methyl-4-pyridone-3-carboxamide,n1-methyl-4-pyridone-3-carboxamide; nmethyl-pyridone-carboxamide,,low,0.0,,0,0,0
mead acid (20:3n9),mead acid (20:3n9),,low,0.0,,0,0,0
1-docosahexaenoylglycerol (22:6),1-docosahexaenoylglycerol (22:6); docosahexaenoylglycerol (22:6),,low,0.0,,0,0,0
gamma-glutamylisoleucine*,gamma-glutamylisoleucine*; glutamylisoleucine*; gamma-glutamylisoleucine,,low,0.0,,0,0,0
oleoylcarnitine (C18:1),oleoylcarnitine (c18:1),,low,0.0,,0,0,0
gamma-glutamyl-2-aminobutyrate,gamma-glutamyl-2-aminobutyrate; glutamyl-2-aminobutyrate; gamma-glutamyl-aminobutyrate; gamma-glutamyl-2-aminobutyric acid,,low,0.0,,0,0,0
2-methylbutyrylcarnitine (C5),2-methylbutyrylcarnitine (c5); methylbutyrylcarnitine (c5),,low,0.0,,0,0,0
phenol sulfate,phenol sulfate; phenol sulfic acid,cpd:C00850,low,0.9,Query 'phenol sulfate' -> cpd:C00850: Aryl sulfate; Phenol sulfate,4,3,0
1-palmitoleoyl-GPC (16:1)*,1-palmitoleoyl-gpc (16:1)*; 1-palmitoleoyl-gpc (16:1); palmitoleoyl-gpc (16:1)*,,low,0.0,,0,0,0
hexanoylglycine,hexanoylglycine,,low,0.0,,0,0,0
2-amino-4-cyanobutanoate,2-amino-4-cyanobutanoate; amino-cyanobutanoate; 2-amino-4-cyanobutanoic acid,cpd:C05717,low,0.9,Query '2-amino-4-cyanobutanoic acid' -> cpd:C05717: alpha-Amino-gamma-cyanobutanoate; 2-Amino-4-cyanobutanoic acid; 2-Amino-4-cyanobutanate; 3-Cyano-L-h,2,1,0
2-hydroxy-3-methylvalerate,2-hydroxy-3-methylvalerate; hydroxy-methylvalerate; 2-hydroxy-3-methylvaleric acid,,low,0.0,,0,0,0
1-arachidonoyl-GPC (20:4n6)*,1-arachidonoyl-gpc (20:4n6)*; 1-arachidonoyl-gpc (20:4n6); arachidonoyl-gpc (20:4n6)*,,low,0.0,,0,0,0
1-dihomo-linolenoyl-GPC (20:3n3 or 6)*,1-dihomo-linolenoyl-gpc (20:3n3 or 6)*; 1-dihomo-linolenoyl-gpc (20:3n3 or 6); dihomo-linolenoyl-gpc (20:3n3 or 6)*,,low,0.0,,0,0,0
1-dihomo-linoleoyl-GPC (20:2)*,1-dihomo-linoleoyl-gpc (20:2)*; 1-dihomo-linoleoyl-gpc (20:2); dihomo-linoleoyl-gpc (20:2)*,,low,0.0,,0,0,0
2-arachidonoyl-GPC (20:4)*,2-arachidonoyl-gpc (20:4)*; 2-arachidonoyl-gpc (20:4); arachidonoyl-gpc (20:4)*,,low,0.0,,0,0,0
2-stearoyl-GPC (18:0)*,2-stearoyl-gpc (18:0)*; 2-stearoyl-gpc (18:0); stearoyl-gpc (18:0)*,,low,0.0,,0,0,0
2-oleoyl-GPC (18:1)*,2-oleoyl-gpc (18:1)*; 2-oleoyl-gpc (18:1); oleoyl-gpc (18:1)*,,low,0.0,,0,0,0
2-linoleoyl-GPC (18:2)*,2-linoleoyl-gpc (18:2)*; 2-linoleoyl-gpc (18:2); linoleoyl-gpc (18:2)*,,low,0.0,,0,0,0
2-palmitoleoyl-GPC (16:1)*,2-palmitoleoyl-gpc (16:1)*; 2-palmitoleoyl-gpc (16:1); palmitoleoyl-gpc (16:1)*,,low,0.0,,0,0,0
2-palmitoyl-GPC (16:0)*,2-palmitoyl-gpc (16:0)*; 2-palmitoyl-gpc (16:0); palmitoyl-gpc (16:0)*,,low,0.0,,0,0,0
2-myristoyl-GPC (14:0)*,2-myristoyl-gpc (14:0)*; 2-myristoyl-gpc (14:0); myristoyl-gpc (14:0)*,,low,0.0,,0,0,0
2-docosahexaenoyl-GPC (22:6)*,2-docosahexaenoyl-gpc (22:6)*; 2-docosahexaenoyl-gpc (22:6); docosahexaenoyl-gpc (22:6)*,,low,0.0,,0,0,0
1-docosahexaenoyl-GPC (22:6)*,1-docosahexaenoyl-gpc (22:6)*; 1-docosahexaenoyl-gpc (22:6); docosahexaenoyl-gpc (22:6)*,,low,0.0,,0,0,0
1-palmitoyl-GPE (16:0),1-palmitoyl-gpe (16:0); palmitoyl-gpe (16:0),,low,0.0,,0,0,0
1-oleoyl-GPE (18:1),1-oleoyl-gpe (18:1); oleoyl-gpe (18:1),,low,0.0,,0,0,0
1-linoleoyl-GPE (18:2)*,1-linoleoyl-gpe (18:2)*; 1-linoleoyl-gpe (18:2); linoleoyl-gpe (18:2)*,,low,0.0,,0,0,0
1-arachidonoyl-GPE (20:4n6)*,1-arachidonoyl-gpe (20:4n6)*; 1-arachidonoyl-gpe (20:4n6); arachidonoyl-gpe (20:4n6)*,,low,0.0,,0,0,0
N-acetylcitrulline,n-acetylcitrulline; acetylcitrulline,,low,0.0,,0,0,0
2-hydroxypalmitate,2-hydroxypalmitate; hydroxypalmitate; 2-hydroxypalmitic acid,cpd:C18218,low,0.7,Query 'hydroxypalmitate' -> cpd:C18218: 16-Hydroxypalmitate; 16-Hydroxypalmitic acid; 16-Hydroxyhexadecanoic acid; Juniperic acid,4,2,2
docosapentaenoate (n6 DPA; 22:5n6),docosapentaenoate (n6 dpa; 22:5n6); docosapentaenoic acid (n6 dpa; 22:5n6),,low,0.0,,0,0,0
gulonate*,gulonate*; gulonate; gulonic acid*,cpd:C00800,low,0.9,Query 'gulonate' -> cpd:C00800: L-Gulonate; L-Gulonic acid; Gulonate; Gulonic acid,4,6,4
isobutyrylglycine,isobutyrylglycine,,low,0.0,,0,0,0
glutarylcarnitine (C5-DC),glutarylcarnitine (c5-dc); glutarylcarnitine (cdc),,low,0.0,,0,0,0
beta-hydroxyisovaleroylcarnitine,beta-hydroxyisovaleroylcarnitine; hydroxyisovaleroylcarnitine,,low,0.0,,0,0,0
tiglylcarnitine (C5:1-DC),tiglylcarnitine (c5:1-dc); tiglylcarnitine (c5:dc),,low,0.0,,0,0,0
cholesterol sulfate,cholesterol sulfate; cholesterol sulfic acid,cpd:C18043,low,1.0,Query 'cholesterol sulfate' -> cpd:C18043: Cholesterol sulfate; Cholest-5-en-3beta-ol sulfate,2,3,2
7alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca),7alpha-hydroxy-3-oxo-4-cholestenoate (7-hoca); 7alpha-hydroxy-oxo-cholestenoate (hoca); 7alpha-hydroxy-3-oxo-4-cholestenoic acid (7-hoca),,low,0.0,,0,0,0
"3beta,7alpha-dihydroxy-5-cholestenoate","3beta,7alpha-dihydroxy-5-cholestenoate; 3beta,7alpha-dihydroxy-cholestenoate; 3beta,7alpha-dihydroxy-5-cholestenoic acid",,low,0.0,,0,0,0
N-acetyl-aspartyl-glutamate (NAAG),n-acetyl-aspartyl-glutamate (naag); acetyl-aspartyl-glutamate (naag); n-acetyl-aspartyl-glutamic acid (naag),,low,0.0,,0,0,0
tetradecanedioate (C14-DC),tetradecanedioate (c14-dc); tetradecanedioate (cdc); tetradecanedioic acid (c14-dc),,low,0.0,,0,0,0
hexadecanedioate (C16-DC),hexadecanedioate (c16-dc); hexadecanedioate (cdc); hexadecanedioic acid (c16-dc),,low,0.0,,0,0,0
octadecanedioate (C18-DC),octadecanedioate (c18-dc); octadecanedioate (cdc); octadecanedioic acid (c18-dc),,low,0.0,,0,0,0
undecanedioate (C11-DC),undecanedioate (c11-dc); undecanedioate (cdc); undecanedioic acid (c11-dc),,low,0.0,,0,0,0
1-myristoylglycerol (14:0),1-myristoylglycerol (14:0); myristoylglycerol (14:0),,low,0.0,,0,0,0
glycerophosphoglycerol,glycerophosphoglycerol,cpd:C03274,low,1.0,Query 'glycerophosphoglycerol' -> cpd:C03274: Glycerophosphoglycerol,0,0,0
glycerophosphoethanolamine,glycerophosphoethanolamine,cpd:C01233,low,0.9,Query 'glycerophosphoethanolamine' -> cpd:C01233: sn-Glycero-3-phosphoethanolamine; Glycerophosphoethanolamine,4,4,3
glycerophosphoinositol*,glycerophosphoinositol*; glycerophosphoinositol,cpd:C03819,low,0.7,Query 'glycerophosphoinositol' -> cpd:C03819: 1-Acylglycerophosphoinositol; 1-Acyl-sn-glycero-3-phosphoinositol,2,1,1
2-oleoyl-GPE (18:1)*,2-oleoyl-gpe (18:1)*; 2-oleoyl-gpe (18:1); oleoyl-gpe (18:1)*,,low,0.0,,0,0,0
1-arachidonoyl-GPI (20:4)*,1-arachidonoyl-gpi (20:4)*; 1-arachidonoyl-gpi (20:4); arachidonoyl-gpi (20:4)*,,low,0.0,,0,0,0
1-palmitoyl-GPI (16:0),1-palmitoyl-gpi (16:0); palmitoyl-gpi (16:0),,low,0.0,,0,0,0
glycolithocholate sulfate*,glycolithocholate sulfate*; glycolithocholate sulfate; glycolithocholic acid sulfic acid*,cpd:C11301,low,0.1,Query 'glycolithocholate sulfate' -> cpd:C11301: Sulfoglycolithocholate; Glycolithocholate 3-sulfate; Sulfolithocholylglycine,1,1,0
taurolithocholate 3-sulfate,taurolithocholate 3-sulfate; taurolithocholate sulfate; taurolithocholic acid 3-sulfic acid,cpd:C03642,low,1.0,Query 'taurolithocholate sulfate' -> cpd:C03642: Taurolithocholate sulfate; 3alpha-Sulfatolithocholyltaurine; Taurolithocholic acid 3-sulfate,1,1,1
deoxycarnitine,deoxycarnitine,,low,0.0,,0,0,0
1-ribosyl-imidazoleacetate*,1-ribosyl-imidazoleacetate*; 1-ribosyl-imidazoleacetate; ribosyl-imidazoleacetate*; 1-ribosyl-imidazoleacetic acid*,,low,0.0,,0,0,0
1-oleoyl-GPA (18:1),1-oleoyl-gpa (18:1); oleoyl-gpa (18:1),,low,0.0,,0,0,0
2-arachidonoyl-GPE (20:4)*,2-arachidonoyl-gpe (20:4)*; 2-arachidonoyl-gpe (20:4); arachidonoyl-gpe (20:4)*,,low,0.0,,0,0,0
"3,4-dihydroxybutyrate","3,4-dihydroxybutyrate; 3,dihydroxybutyrate; 3,4-dihydroxybutyric acid",,low,0.0,,0,0,0
indoleacetylglutamine,indoleacetylglutamine,,low,0.0,,0,0,0
hexanoylglutamine,hexanoylglutamine,,low,0.0,,0,0,0
N6-acetyllysine,n6-acetyllysine; nacetyllysine,,low,0.0,,0,0,0
dihomo-linolenate (20:3n3 or n6),dihomo-linolenate (20:3n3 or n6); dihomo-linolenic acid (20:3n3 or n6),,low,0.0,,0,0,0
mannitol/sorbitol,mannitol/sorbitol,,low,0.0,,0,0,0
tryptophan betaine,tryptophan betaine,,low,0.0,,0,0,0
3-methyladipate,3-methyladipate; methyladipate; 3-methyladipic acid,,low,0.0,,0,0,0
N6-carboxymethyllysine,n6-carboxymethyllysine; ncarboxymethyllysine,,low,0.0,,0,0,0
2-linoleoyl-GPE (18:2)*,2-linoleoyl-gpe (18:2)*; 2-linoleoyl-gpe (18:2); linoleoyl-gpe (18:2)*,,low,0.0,,0,0,0
1-oleoyl-GPI (18:1),1-oleoyl-gpi (18:1); oleoyl-gpi (18:1),,low,0.0,,0,0,0
1-linoleoyl-GPI (18:2)*,1-linoleoyl-gpi (18:2)*; 1-linoleoyl-gpi (18:2); linoleoyl-gpi (18:2)*,,low,0.0,,0,0,0
1-palmitoleoyl-GPE (16:1)*,1-palmitoleoyl-gpe (16:1)*; 1-palmitoleoyl-gpe (16:1); palmitoleoyl-gpe (16:1)*,,low,0.0,,0,0,0
1-palmitoleoyl-GPI (16:1)*,1-palmitoleoyl-gpi (16:1)*; 1-palmitoleoyl-gpi (16:1); palmitoleoyl-gpi (16:1)*,,low,0.0,,0,0,0
dimethylarginine (SDMA + ADMA),dimethylarginine (sdma + adma),,low,0.0,,0,0,0
gamma-glutamylalanine,gamma-glutamylalanine; glutamylalanine,,low,0.0,,0,0,0
N-acetylserine,n-acetylserine; acetylserine,,low,0.0,,0,0,0
1-stearoyl-2-oleoyl-GPE (18:0/18:1),1-stearoyl-2-oleoyl-gpe (18:0/18:1); stearoyl-oleoyl-gpe (18:0/18:1),,low,0.0,,0,0,0
chiro-inositol,chiro-inositol,cpd:C06151,low,0.7,Query 'chiro-inositol' -> cpd:C06151: 1L-chiro-Inositol; (-)-Inositol,0,0,0
1-stearoyl-2-arachidonoyl-GPC (18:0/20:4),1-stearoyl-2-arachidonoyl-gpc (18:0/20:4); stearoyl-arachidonoyl-gpc (18:0/20:4),,low,0.0,,0,0,0
1-palmitoyl-2-linoleoyl-GPE (16:0/18:2),1-palmitoyl-2-linoleoyl-gpe (16:0/18:2); palmitoyl-linoleoyl-gpe (16:0/18:2),,low,0.0,,0,0,0
sphinganine-1-phosphate,sphinganine-1-phosphate; sphinganine-phosphate; sphinganine-1-phosphic acid,,low,0.0,,0,0,0
glycosyl-N-nervonoyl-sphingosine (d18:1/24:1)*,glycosyl-n-nervonoyl-sphingosine (d18:1/24:1)*; glycosyl-n-nervonoyl-sphingosine (d18:1/24:1),,low,0.0,,0,0,0
glycosyl-N-stearoyl-sphingosine (d18:1/18:0),glycosyl-n-stearoyl-sphingosine (d18:1/18:0),,low,0.0,,0,0,0
cyclo(leu-pro),cyclo(leu-pro),,low,0.0,,0,0,0
succinylcarnitine (C4-DC),succinylcarnitine (c4-dc); succinylcarnitine (cdc),,low,0.0,,0,0,0
"bilirubin (E,E)*","bilirubin (e,e)*; bilirubin (e,e)",,low,0.0,,0,0,0
"bilirubin (E,Z or Z,E)*","bilirubin (e,z or z,e)*; bilirubin (e,z or z,e)",,low,0.0,,0,0,0
N-methylproline,n-methylproline; methylproline,cpd:C17366,low,0.7,"Query 'methylproline' -> cpd:C17366: (2S,5S)-trans-Carboxymethylproline; (2S,5S)-5-Carboxymethylproline",2,2,3
beta-cryptoxanthin,beta-cryptoxanthin; cryptoxanthin,cpd:C08591,low,1.0,Query 'beta-cryptoxanthin' -> cpd:C08591: beta-Cryptoxanthin,5,3,2
"5alpha-androstan-3beta,17beta-diol disulfate","5alpha-androstan-3beta,17beta-diol disulfate; 5alpha-androstan-3beta,17beta-diol disulfic acid",,low,0.0,,0,0,0
"5alpha-pregnan-3beta,20alpha-diol disulfate","5alpha-pregnan-3beta,20alpha-diol disulfate; 5alpha-pregnan-3beta,20alpha-diol disulfic acid",,low,0.0,,0,0,0
glycocholenate sulfate*,glycocholenate sulfate*; glycocholenate sulfate; glycocholenic acid sulfic acid*,,low,0.0,,0,0,0
taurocholenate sulfate*,taurocholenate sulfate*; taurocholenate sulfate; taurocholenic acid sulfic acid*,,low,0.0,,0,0,0
"androstenediol (3beta,17beta) disulfate (1)","androstenediol (3beta,17beta) disulfate (1); androstenediol (3beta,17beta) disulfate; androstenediol (3beta,17beta) disulfic acid (1)",,low,0.0,,0,0,0
pregnenediol disulfate (C21H34O8S2)*,pregnenediol disulfate (c21h34o8s2)*; pregnenediol disulfate (c21h34o8s2); pregnenediol disulfic acid (c21h34o8s2)*,,low,0.0,,0,0,0
"androstenediol (3beta,17beta) disulfate (2)","androstenediol (3beta,17beta) disulfate (2); androstenediol (3beta,17beta) disulfate; androstenediol (3beta,17beta) disulfic acid (2)",,low,0.0,,0,0,0
21-hydroxypregnenolone disulfate,21-hydroxypregnenolone disulfate; hydroxypregnenolone disulfate; 21-hydroxypregnenolone disulfic acid,,low,0.0,,0,0,0
"5alpha-androstan-3alpha,17alpha-diol monosulfate","5alpha-androstan-3alpha,17alpha-diol monosulfate; 5alpha-androstan-3alpha,17alpha-diol monosulfic acid",,low,0.0,,0,0,0
"5alpha-pregnan-3beta,20beta-diol monosulfate (1)","5alpha-pregnan-3beta,20beta-diol monosulfate (1); 5alpha-pregnan-3beta,20beta-diol monosulfate; 5alpha-pregnan-3beta,20beta-diol monosulfic acid (1)",,low,0.0,,0,0,0
"5alpha-pregnan-3beta,20alpha-diol monosulfate (2)","5alpha-pregnan-3beta,20alpha-diol monosulfate (2); 5alpha-pregnan-3beta,20alpha-diol monosulfate; 5alpha-pregnan-3beta,20alpha-diol monosulfic acid (2)",,low,0.0,,0,0,0
5alpha-pregnan-diol disulfate,5alpha-pregnan-diol disulfate; 5alpha-pregnan-diol disulfic acid,,low,0.0,,0,0,0
"5alpha-androstan-3alpha,17beta-diol disulfate","5alpha-androstan-3alpha,17beta-diol disulfate; 5alpha-androstan-3alpha,17beta-diol disulfic acid",,low,0.0,,0,0,0
"5alpha-androstan-3alpha,17beta-diol monosulfate (1)","5alpha-androstan-3alpha,17beta-diol monosulfate (1); 5alpha-androstan-3alpha,17beta-diol monosulfate; 5alpha-androstan-3alpha,17beta-diol monosulfic acid (1)",,low,0.0,,0,0,0
"5alpha-androstan-3beta,17alpha-diol disulfate","5alpha-androstan-3beta,17alpha-diol disulfate; 5alpha-androstan-3beta,17alpha-diol disulfic acid",,low,0.0,,0,0,0
"5alpha-androstan-3beta,17beta-diol monosulfate (2)","5alpha-androstan-3beta,17beta-diol monosulfate (2); 5alpha-androstan-3beta,17beta-diol monosulfate; 5alpha-androstan-3beta,17beta-diol monosulfic acid (2)",,low,0.0,,0,0,0
"androstenediol (3alpha, 17alpha) monosulfate (2)","androstenediol (3alpha, 17alpha) monosulfate (2); androstenediol (3alpha, 17alpha) monosulfate; androstenediol (3alpha, 17alpha) monosulfic acid (2)",,low,0.0,,0,0,0
"androstenediol (3alpha, 17alpha) monosulfate (3)","androstenediol (3alpha, 17alpha) monosulfate (3); androstenediol (3alpha, 17alpha) monosulfate; androstenediol (3alpha, 17alpha) monosulfic acid (3)",,low,0.0,,0,0,0
"androstenediol (3beta,17beta) monosulfate (1)","androstenediol (3beta,17beta) monosulfate (1); androstenediol (3beta,17beta) monosulfate; androstenediol (3beta,17beta) monosulfic acid (1)",,low,0.0,,0,0,0
"androstenediol (3beta,17beta) monosulfate (2)","androstenediol (3beta,17beta) monosulfate (2); androstenediol (3beta,17beta) monosulfate; androstenediol (3beta,17beta) monosulfic acid (2)",,low,0.0,,0,0,0
"5alpha-pregnan-3beta-ol,20-one sulfate","5alpha-pregnan-3beta-ol,20-one sulfate; 5alpha-pregnan-3beta-ol,one sulfate; 5alpha-pregnan-3beta-ol,20-one sulfic acid",,low,0.0,,0,0,0
1-docosahexaenoyl-GPE (22:6)*,1-docosahexaenoyl-gpe (22:6)*; 1-docosahexaenoyl-gpe (22:6); docosahexaenoyl-gpe (22:6)*,,low,0.0,,0,0,0
2-docosahexaenoyl-GPE (22:6)*,2-docosahexaenoyl-gpe (22:6)*; 2-docosahexaenoyl-gpe (22:6); docosahexaenoyl-gpe (22:6)*,,low,0.0,,0,0,0
pregnenediol sulfate (C21H34O5S)*,pregnenediol sulfate (c21h34o5s)*; pregnenediol sulfate (c21h34o5s); pregnenediol sulfic acid (c21h34o5s)*,,low,0.0,,0,0,0
2-oleoyl-GPI (18:1)*,2-oleoyl-gpi (18:1)*; 2-oleoyl-gpi (18:1); oleoyl-gpi (18:1)*,,low,0.0,,0,0,0
2-hydroxyglutarate,2-hydroxyglutarate; hydroxyglutarate; 2-hydroxyglutaric acid,cpd:C02630,low,1.0,Query '2-hydroxyglutarate' -> cpd:C02630: 2-Hydroxyglutarate; alpha-Hydroxyglutarate; 2-Hydroxyglutaric acid,4,4,3
gamma-CEHC,gamma-cehc; cehc,,low,0.0,,0,0,0
N-acetyl-beta-alanine,n-acetyl-beta-alanine; acetyl-beta-alanine,cpd:C01073,low,1.0,Query 'n-acetyl-beta-alanine' -> cpd:C01073: N-Acetyl-beta-alanine,1,1,1
5-methylthioribose**,5-methylthioribose**; 5-methylthioribose; methylthioribose**,,low,0.0,,0,0,0
"sphingomyelin (d18:1/18:1, d18:2/18:0)","sphingomyelin (d18:1/18:1, d18:2/18:0)",,low,0.0,,0,0,0
palmitoyl sphingomyelin (d18:1/16:0),palmitoyl sphingomyelin (d18:1/16:0),,low,0.0,,0,0,0
cysteine sulfinic acid,cysteine sulfinic acid,cpd:C00606,low,0.1,Query 'cysteine sulfinic acid' -> cpd:C00606: 3-Sulfino-L-alanine; L-Cysteinesulfinic acid; 3-Sulphino-L-alanine; 3-Sulfinoalanine,6,5,3
16alpha-hydroxy DHEA 3-sulfate,16alpha-hydroxy dhea 3-sulfate; 16alpha-hydroxy dhea sulfate; 16alpha-hydroxy dhea 3-sulfic acid,,low,0.0,,0,0,0
17alpha-hydroxypregnenolone 3-sulfate,17alpha-hydroxypregnenolone 3-sulfate; 17alpha-hydroxypregnenolone sulfate; 17alpha-hydroxypregnenolone 3-sulfic acid,,low,0.0,,0,0,0
pregnenolone sulfate,pregnenolone sulfate; pregnenolone sulfic acid,cpd:C18044,low,0.9,Query 'pregnenolone sulfate' -> cpd:C18044: 3beta-Hydroxypregn-5-en-20-one sulfate; Pregnenolone sulfate,2,3,2
"N1,N12-diacetylspermine","n1,n12-diacetylspermine; n1,ndiacetylspermine",,low,0.0,,0,0,0
andro steroid monosulfate C19H28O6S (1)*,andro steroid monosulfate c19h28o6s (1)*; andro steroid monosulfate c19h28o6s; andro steroid monosulfic acid c19h28o6s (1)*,,low,0.0,,0,0,0
12-HETE,12-hete; hete,cpd:C01923,low,0.7,Query 'hete' -> cpd:C01923: Heteroglycan; Heteropolysaccharide,2,1,0
1-margaroyl-GPE (17:0)*,1-margaroyl-gpe (17:0)*; 1-margaroyl-gpe (17:0); margaroyl-gpe (17:0)*,,low,0.0,,0,0,0
1-pentadecanoyl-GPC (15:0)*,1-pentadecanoyl-gpc (15:0)*; 1-pentadecanoyl-gpc (15:0); pentadecanoyl-gpc (15:0)*,,low,0.0,,0,0,0
S-methylmethionine,s-methylmethionine; methylmethionine,cpd:C05319,low,0.7,Query 's-methylmethionine' -> cpd:C05319: [Cytochrome c] S-methylmethionine; [Cytochrome c] S-methyl-L-methionine,1,1,0
13-HODE + 9-HODE,13-hode + 9-hode; hode + hode,cpd:C02522,low,0.1,Query 'hode + hode' -> cpd:C02522: 6-Deoxy-D-glucose; D-Quinovose; 6-Deoxy-D-glucopyranose; D-Chinovose; D-Glucomethylose; Isorhamnose;,0,0,0
tridecenedioate (C13:1-DC)*,tridecenedioate (c13:1-dc)*; tridecenedioate (c13:1-dc); tridecenedioate (c13:dc)*; tridecenedioic acid (c13:1-dc)*,,low,0.0,,0,0,0
N-acetyl-3-methylhistidine*,n-acetyl-3-methylhistidine*; acetyl-3-methylhistidine*; n-acetyl-3-methylhistidine; n-acetyl-methylhistidine*,,low,0.0,,0,0,0
alpha-CEHC,alpha-cehc; cehc,,low,0.0,,0,0,0
4-cholesten-3-one,4-cholesten-3-one; cholesten-one,cpd:C00599,low,0.9,Query '4-cholesten-3-one' -> cpd:C00599: Cholest-4-en-3-one; Cholestenone; 4-Cholesten-3-one,9,8,2
stearoyl ethanolamide,stearoyl ethanolamide,,low,0.0,,0,0,0
cis-4-decenoylcarnitine (C10:1),cis-4-decenoylcarnitine (c10:1); 4-decenoylcarnitine (c10:1); cis-decenoylcarnitine (c10:1),,low,0.0,,0,0,0
"2S,3R-dihydroxybutyrate","2s,3r-dihydroxybutyrate; 2s,3r-dihydroxybutyric acid",,low,0.0,,0,0,0
(12 or 13)-methylmyristate (a15:0 or i15:0),(12 or 13)-methylmyristate (a15:0 or i15:0); (12 or 13)-methylmyristic acid (a15:0 or i15:0),,low,0.0,,0,0,0
(16 or 17)-methylstearate (a19:0 or i19:0),(16 or 17)-methylstearate (a19:0 or i19:0); (16 or 17)-methylstearic acid (a19:0 or i19:0),,low,0.0,,0,0,0
"2R,3R-dihydroxybutyrate","2r,3r-dihydroxybutyrate; 2r,3r-dihydroxybutyric acid",,low,0.0,,0,0,0
alpha-ketoglutaramate*,alpha-ketoglutaramate*; ketoglutaramate*; alpha-ketoglutaramate; alpha-ketoglutaramic acid*,cpd:C00940,low,0.9,Query 'alpha-ketoglutaramate' -> cpd:C00940: 2-Oxoglutaramate; 2-Oxoglutaramic acid; alpha-Ketoglutaramate; 2-Ketoglutaramate,7,8,2
